max_demand_ratio,element_tag,element_id,final_state,kind,mid_y,distance_to_support_m
2.3117292000000007,49,M049,FALLA,SPANDREL,-36.0606976,0.0
2.2952886140282973,16,M016,FALLA,ARCH,-56.749333881249996,1.3792424187500032
2.2876128000000002,57,M057,FALLA,SPANDREL,-58.1285763,0.0
2.2634964000000006,65,M065,FALLA,SPANDREL,-86.2754555,0.0
2.2502149705504015,2,M002,FALLA,ARCH,-37.439940018749994,1.379242418749996
2.2393800000000006,73,M073,FALLA,SPANDREL,-113.4715805,0.0
2.222154,122,M122,FALLA,SPANDREL,-36.0606976,0.0
2.205141327072503,89,M089,FALLA,ARCH,-56.749333881249996,1.3792424187500032
2.1980376,130,M130,FALLA,SPANDREL,-58.1285763,0.0
2.187609875303859,32,M032,FALLA,ARCH,-84.51627555000002,1.7591799499999894
2.1739212000000006,138,M138,FALLA,SPANDREL,-86.2754555,0.0
2.1600676835946073,75,M075,FALLA,ARCH,-37.439940018749994,1.379242418749996
2.1498048000000005,146,M146,FALLA,SPANDREL,-113.4715805,0.0
2.148919710096589,48,M048,FALLA,ARCH,-111.77182268749999,1.6997578125000103
2.1437226401511573,18,M018,FALLA,ARCH,-59.887756249999995,1.7591799499999965
2.1048566876498134,34,M034,FALLA,ARCH,-87.97521331250002,1.6997578125000103
2.0998354049984576,105,M105,FALLA,ARCH,-84.51627555000002,1.7591799499999894
2.060793665203038,121,M121,FALLA,ARCH,-111.77182268749999,1.6997578125000103
2.0559481698457556,91,M091,FALLA,ARCH,-59.887756249999995,1.7591799499999965
2.0167306427562623,107,M107,FALLA,ARCH,-87.97521331250002,1.6997578125000103
1.9929114334787883,87,M087,FALLA,ARCH,-53.99084904375,4.137727256249995
1.9637140490548304,30,M030,FALLA,ARCH,-80.99791565000001,5.277539849999997
1.9548275294288646,109,M109,FALLA,ARCH,-91.37472893750001,5.099273437500003
1.9314514154745583,46,M046,FALLA,ARCH,-108.3723070625,5.099273437500003
1.890718827705979,79,M079,FALLA,ARCH,-42.95690969375,6.896212093750002
1.8880746930912367,103,M103,FALLA,ARCH,-80.99791565000001,5.277539849999997
